Job Title,Required Skills,Role Category,Industry,Role
 Jr. Support Executives,vide,Other,IT-Hardware & Networking,Fresher
 Sales Executive," Sales Executive, Cold calling, market research, customer profiling, sales executive, marketing executive, distributors, Business Development, sales strategy",Retail Sales,"Industrial Products, Heavy Machinery",Sales Executive/Officer
 Recruitment Officer ," Administration, HR, Recruitment, Recruitment Executive, IR",HR/ Recruitment / IR,"Recruitment, Staffing",Recruitment Executive
 Senior Principal Software Engineer," Web development, Analytics, Healthcare, Software design, Monitoring, JIRA, Computer science, Backend, Inside sales, Cloud",Programming & Design,"BPO, Call Centre, ITeS",Technical Architect
 Senior Branch Sales & Development Head - Agency - General Insurance," Team Management, Advisory Services, General Insurance, Sales Initiatives, Financial Products, Distributor Sales, Branch Sales, Sales Development, Motor Insurance, Marketing",General Insurance,Insurance,Branch Manager
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition," clinical pharmacy, mr, sales officer, territory executive, business development, sales executive",Retail Sales,"Pharma, Biotech, Clinical Research",Sales Executive/Officer
 Urgent job Position For SAP MDG Functional Analyst- All Over India,vide,System Design/Implementation/ERP/CRM,"IT-Software, Software Services",ERP Consultant
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon," sap, procurement, scm, material, sheetmetal, sheet metal, purchase, VD, vendor development, sourcing, BOP",Purchase/Material Management,"Industrial Products, Heavy Machinery",Purchase/Vendor Development Manager
 Java with AngularJS and Spring," Angularjs, CSS, Core Java, DOM, Computer Science, Javascript, HTML, Spring, Ajax",Programming & Design,"IT-Software, Software Services",Software Developer
 Manager- Admission," data analysis, Admissions, placements, Help Desk, access controls, Asset Management",Other,"Education, Teaching, Training",Other
 Full Time Academic Writer for Ca/cma- Accounting & Taxation," academic research, accounting, taxation, ifrs, us gaap, international taxation, cost accounting, company secretary, auditing, company law, corporate law, icwa, cma",,"Education, Teaching, Training",Other
 Sales Head for It Consulting Company in Gurgaon," marketing, bdm, sales, business development, it sales, ncr, hardware sales",Retail Sales,"Recruitment, Staffing",Sales/Business Development Manager
 Adeeba Group is Currently hiring for US Inbound Tech Process.," Outbound, Night shift, Service, English, process, Technical, Technical support, Inbound calls, Voice process, Group",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Mechanical Engineer Require For Shut Down," RT, PT, MPI, NDT Inspection, NDT Level, Diploma, Quality Inspection, Level Ii, Inspection Engineering, Mechanical Engineering, UT",Production/Manufacturing/Maintenance,"Oil and Gas, Energy, Power, Infrastructure",Service/Maintenance Engineer
 CARE Specialist," Customer service, Healthcare, Customer relationship, Windows, Graphic designing, CAD, Illustrator, Customer satisfaction, Application software",Voice,"Printing, Packaging",Associate/Senior Associate -(NonTechnical)
 Opening For Fresher," BPO, any graduate, Voice Process, Voice Support",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Technical Support Associate / Technical Sales Associate-Inbound Voice ," Outbound, Antivirus, Comp, Technical support, Technical Support Associate, technical sales associate, Sales, Technical Associate, Voice support, Inbound calls",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Head of Maintenance," Equipment Maintenance, Hydraulics, Inventory Management, Management Skills, Maintenance Head, Electricals",Senior Management,"Automobile, Auto Anciliary, Auto Components",Head/VP/GM-Production/Manufacturing/Maintenance
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)"," hive, apache, itil process, hadoop, big data, aws, core java",Programming & Design,"IT-Software, Software Services",Software Developer
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore," motor insurance, insurance sales, insurance broking, general insurance",Corporate Sales,Insurance,Sales/Business Development Manager
Spring Boot,"SQL,Hibernate,Multithreading,OOAD,Eclipse,Business process,Outsourcing,Version control,Memory management,Control system",Programming & Design,IT-Software / Software Services,Team Lead/Technical Lead
 Sr. Engineer Design (Mechanical)," CATIA, AutoCAD, Pressure vessels, Mechanical, Primavera, PSCAD",Engineering Design,"Strategy, Management Consulting Firms",Senior Design Engineer
 Senior Manager Cost & Program Management," Team Management, Project Execution, Program Management, Customer Experience, Data Analytics, Supply Chain, Operations Planning",Purchase/Material Management,"Internet, Ecommerce",Purchase/Vendor Development Manager
 Manager Sales Commercial Segment," business development management, Sales Management",Retail Sales,"Real Estate, Property",Sales/Business Development Manager
 Outbound Sales Executive," Outbound Sales, tele sales, Sales Executive Activities",,Other,Other
 US Tech Process," Technical support, Outbound, Comp, Technical, Domestic BPO, US shift, process, Inbound calls, Bonus",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
" Community Manager,"," Operations, Inventory Management, Vendor Management, Bhm, Hospitality, Front Office, Guest Relations, Hospitality Management, hotel management",Front Office/Customer Care,"Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
 Software Engineer- Mobile Applications - Android," financial s, windows, android, mobile development",Programming & Design,"IT-Software, Software Services",Software Developer
 Hardware Board Design Engineer," Hardware Board Design, Mixed Signal, Design Engineering",Programming & Design,"IT-Software, Software Services",Software Developer
 Corporate Head - Operations," environment, functional, operations, business, verbal communication, coaching, analytical skills",Senior Management,"Security, Law Enforcement",Head/VP/GM-Operations
 HR Recruitment Executive," Screening, Linkedin, IT Recruitment, hr recruitment, Database, recruiter, Sourcing, Interviewing, Recruitment",HR/ Recruitment / IR,"BPO, Call Centre, ITeS",Recruitment Executive
 Software Engineer Android," java, linux, server, development, eclipse ide, c, technical, mobile, eclipse, objective c, usability, ui, design, debugging, backend, developer, programming, applications",Programming & Design,"IT-Software, Software Services",Software Developer
 Sales Coordinator," Retail Sales, Sales Executive Activities, Revenue Generation, Inhouse Sales",Retail Sales,"Retail, Wholesale",Counter Sales
 Ecommerce Executive," BPO, Customer Support, international bpo, Voice Process, International Voice, International Voice Process",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Team Lead / Dev Lead," J2Ee, Core Java, jQuery, ERP, Tomcat, Eclipse, Open source, Selenium, Computer science, OFBIZ",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
 Andriod Developer," Android Development, Android Studio, Java, Troubleshooting, API Testing, API",,"Media, Entertainment, Internet",Other
 Physics Teacher," Counselor, Mentor, Trainer, Advisor, Teaching",Subject Teachers (TGT/PGT),"Education, Teaching, Training",Physics Teacher
 Manager Sales &amp; Marketing," lead generation, branding, business development, Sales Management, market research, competitive intelligence, market analysis, Marketing",Institutional Sales,"Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager
 Design Engineer," Wireless, Automation, Simulation, Networking, Aerospace, FPGA, Coding, System verilog, Automotive, Physical design",Engineering Design,"IT-Software, Software Services",Design Engineer
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ," hr, recruitment, recruiter, hiring, head hunting, leadership, mass hiring, volume hiring, bulk hiring, team leader, senior, tl, non it, it recruitment, technical hiring, it recruiter, bfsi, engineering, manufacturing, insurance, bpo, IT",HR/ Recruitment / IR,"Recruitment, Staffing",Recruitment Executive
 Associate, Associate,Accounts,"Accounting, Finance",Accounts Executive/Accountant
 Receptionist (Female)," Receptionist, Administration, Front Desk, Travel Arrangements, Front Office, Computer Operating",,"Banking, Financial Services, Broking",Receptionist
 Senior .NET Developer," javascript, html, sql server, ajax, jquery, soa, oop, english, proactive, asp net c",Programming & Design,"IT-Software, Software Services",Software Developer
 Sales Manager : School & Higher Academic Books," marketing executive, Sales, distributors, customer profiling, sales strategy, market research, Business Development, sales executive",Corporate Sales,Publishing,Sales/Business Development Manager
 Supply Chain - Import Export Executive," QMS, Impex, Environmental Management System, Warehouse Management System, Export Import Logistics",Logistics,"Automobile, Auto Anciliary, Auto Components",Logistics Executive
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi," Java, core java, J2EE, Hibernate, Spring, LDAP, ADFS, Json, SOAP, jQuery, REST, Javascript, Java Web Services, Java Api, Advanced Java, MVC, Web Services, Open Source, SOA, Cloud, spring integration",Programming & Design,"IT-Software, Software Services",Software Developer
 Hiring for Spring Boot Developer-noida," spring boot, spring security, spring mvc",Programming & Design,"IT-Software, Software Services",Software Developer
 Dynamic CRM Architect," Dynamics CRM, .Net, Azure, Visual Studio, Microsoft Dynamics, Solution Management, Root Cause, microservices, .NET development",Programming & Design,"IT-Software, Software Services",Technical Architect
 SE / SSE - DATA,vide,Programming & Design,"Telcom, ISP",Software Developer
 Hiring for Accounts Manager (business Development)- Radio In," Marketing Strategy, Strategic Thinking, Interpersonal Communication, Sales, Promotions, Accounting, Account Management, Team Leading, Business Development Management, Advertising",Retail Sales,"Media, Entertainment, Internet",Sales/Business Development Manager
Urgent Openings for O2C,"O2C,OTC,Order Management,Credit Management,Communication Skills",Accounts,Accounting / Finance,Accounts Executive/Accountant
 ARCHITECTURAL CAD," visualization, m e p, modeling, drafting, design development, drawings, cad, preparation, quality",Architectural Services,"Construction, Engineering, Cement, Metals",Architect
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division"," pnr, primetime, sta, floorplan, timing closure, synthesis, vlsi, Physical design, floor planning",Engineering Design,"Semiconductors, Electronics",Senior Design Engineer
 Assistant Manager Purchase, Assistant Manager Purchase,Purchase/Material Management,"Electricals, Switchgears",Purchase Executive
 Sr. Cloud Developer," SQL, Python, Analytics, Machine learning, Solution architecture, Analytical, SCALA, Cosmos, Programming, Data warehousing",Programming & Design,"Recruitment, Staffing",Software Developer
 Hiring for Manager Quality ( Voice and Chat)," BPO, Transactional Quality, Quality Management, Quality manager, manager Quality",Quality,"BPO, Call Centre, ITeS",Quality Assurance/Quality Control Manager
" South Indian Cook,",vide,Senior Management,"Travel , Hotels , Restaurants , Airlines , Railways",Executive/Master Chef
 Sharepoint Support Engineer," IIS, Exchange Server, Windows Server, WSS, Sharepoint, Active Directory",Admin/Maintenance/Security/Datawarehousing,IT-Hardware & Networking,Technical Support Engineer
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai," pharma chemicals, business development, api, intermediates, sales",Corporate Sales,"Chemicals, PetroChemical, Plastic, Rubber",Sales/Business Development Manager
 Java- Technical Lead- Tavant Technologies - Hyderabad," Hibernate, Design Patterns, Cloud, Spring Boot, Team Leader, core java, Web Services, Microservices",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
 Hiring For Oracle Apps DBA@ Hyderabad," Exadata, performance tuning, 11g, patching, sql, dataguard, rac, cassandra, oracle database, Weblogic, ebs, asm, apps dba, cloning",Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",DBA
 Walk in For Pharmacist @ 1mg Technologies || Gurugram Sec 14," hospital, pharma, pharmacy",R&D,"Medical, Healthcare, Hospitals",Pharmacist/Chemist/Bio Chemist
" Agency Manager || Life Insurance ||ahmedabad , Bhopal , Vadodara"," Sales, insurance sales, agency sales, Direct sales, life advisor, channel sales, life insurance advisor, life insurance, agency",Retail Sales,Insurance,Sales/Business Development Manager
 HR Trainer," Training Needs, Soft Skills, Accent, HR, Feedback, Coaching, Customer Service, Process Compliance",Teachers,"BPO, Call Centre, ITeS",Technical / Process Trainer
 Project Manager For Civil Work," Real Estate Construction, Project Management, Interpersonal Communication, Communication Skills, Project Manager, Project Coordinator, site coordinator",Production/Manufacturing/Maintenance,"Real Estate, Property",Project Manager-Production/Manufacturing/Maintenance
 Vacancy For Motion Graphic Artist," Graphics, Multimedia, Visualization, Infographics, Social Media, Adobe After Effects, Protools, Photoshop, Graphic Designing, English Language",,"IT-Software, Software Services",Other
 Business Associate," international bpo, Chat Process, voice based process, tele caller, process developer, Sales, b.a, exl, communication skills, Ba, Blended Process, bba, wipro, tcs, bbm, customer support, bcom, cse, accenture, Fresher, wns",Voice,"KPO, Research, Analytics",Associate/Senior Associate -(NonTechnical)
 Project Support Officer/Administrator," project support, Banking, Maya, E-commerce, big data",Technical Support,"IT-Software, Software Services",Customer Support Engineer/Technician
" Immediate Requirement For Officer - IT @ Vibgyor High, Electronic City"," Networking, It Asset, Antivirus, Hardware Troubleshooting",Admin/Maintenance/Security/Datawarehousing,"Education, Teaching, Training",System Administrator
 Procurement - MDM," Procurement, Business process, IT services, Automation, data services, Master data management, Consulting, Vendor, Troubleshooting, Business Executive",Purchase/Material Management,"IT-Software, Software Services",Purchase/Vendor Development Manager
 If You're an Experienced in International Tech Sales Then Call Us / In," Recruitment, Outbound, Technical support, English, Comp, Email, Troubleshooting, Domestic BPO, International BPO, Inbound calls",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Senior Game Artist," Photoshop, Illustrator, Fine arts, Software design, User interface designing, game development, creative content, Supervision, Relationship Executive, Business Executive",Programming & Design,"Animation, Gaming",Graphic/Web Designer
 Manager (PR)," marketing, project management, PR, project planning",Voice,"Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
 Senior Engineer Project," Leadership training, Software development life cycle, Management",Project Management,"IT-Software, Software Services",Project Manager-IT/Software
 PERL Developer," Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle, assembly language, Real Time Operating Systems",Programming & Design,"BPO, Call Centre, ITeS",Software Developer
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta"," apache camel, Administration, Technical Support, redhat, Activemq",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Subject Matter Expert
 Wire Industry," customer profiling, market research, sales executive, marketing executive, distributors, sales strategy, Business Development",Corporate Sales,"Recruitment, Staffing",Branch Manager/Regional Manager
 Manager Brand Marketing," customer segmentation, Brand management, Strategic partnerships, Brand marketing, Consumer insights, Performance appraisal, Operations, Promotional strategies, Marketing strategy, Recruitment",Marketing,"FMCG, Foods, Beverage",Product/Brand Manager
 Oracle Fusion Apps_manufacturing_any Location," Negotiation, Marine Operation, Oracle Fusion, Manufacturing, Inventory",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Functional Outside Consultant
 VP / Sr.vp Fire," Fire Safety, fire, Senior Management",Safety/Health/Environment,"Real Estate, Property",Safety Officer/Manager
 Data Science Engineer," Unix, data science, SQL, Linux, SAS, HTML, Perl, SDLC, Android, Python",Programming & Design,"Medical, Healthcare, Hospitals",Software Developer
Executive - Lab Instruments Maintenance,"Installation,Breakdown Maintenance,Preventive Maintenance","Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent ",Pharma / Biotech / Clinical Research,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent"
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi," dot matrix, printer, printer support, Laserjet, Hardware",Technical Support,IT-Hardware & Networking,Customer Support Engineer/Technician
 When you need a Roof you need a job. Come work with us," Outbound, Technical Support Associate, Email, Technical, US shift, Medical, Antivirus, Troubleshooting, Technical support, Comp",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Senior Data Analyst," Reporting, Data Analysis, Business Analytics, Data Analytics, kpo",Analytics & BI,"KPO, Research, Analytics",Data Analyst
" Java / J2EE, Web Services also experienced in AngularJS"," HTML, XML, Ajax, rest, Prototype, technical, developing, JSON, application architecture, SDLC, javascript, jQuery, Web services, java, application, web, design, Web designing, architecture, applications",Programming & Design,"IT-Software, Software Services",Software Developer
 Senior US IT Recruiter / Senior US Recruiter," us it recruiter, us it recruitment, us it staffing, us staffing, us technical recruiter, us recruitment",HR/ Recruitment / IR,"Recruitment, Staffing",Recruitment Executive
 Service Engineer - Bhiwadi," service engineering, maintenance, breakdown, shutdown, amc, installation, repair, troubleshooting, field service engineer, Preventive Maintenance, breakdown maintenance, Field Engineer, Electrical Engineer",Production/Manufacturing/Maintenance,"Printing, Packaging",Service/Maintenance Engineer
 Sales Manager," enterprise sales, relationship building, new business, sales strategy, B2B Sales, marketing management, cross selling, product marketing, consultative sales, b2b marketing, service sales, Corporate Sales, Key Accounts Manager",Institutional Sales,"Advertising, PR, MR, Event Management",Sales/Business Development Manager
 Accounts Executive For 1-2 Years Experience," accounts executive, Accounting, accounts, finance",Accounts,"BPO, Call Centre, ITeS",Accounts Executive/Accountant
 Inbound Tour Manager," inbound, costing, selling, good communication, good communication skills, tickets, tour, experience, manager, packages",Ticketing/Travel/Documentation,"Travel , Hotels , Restaurants , Airlines , Railways",Tour Management Manager/Senior Manager
 Swimming Pool Technician," Monthly Reports, Maintenance, Technician Activities, Water Quality",Site Engineering,Other,Maintenance Engineer
Data Science Manager,"kaggle,NLP,data science,Artificial Intelligence,Natural Language Processing,analytical techniques,Text Mining,big data,machine learning,Deep Learning"," ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other Employment Type: Full Time, Permanent ",Strategy / Management Consulting Firms,"ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other"
 Associate Vice President - Talent Acquisition - Campus Hiring Program," Talent Acquisition, Recruitment, HR, Campus Hiring, recruitment, recruiting",Senior Management,"IT-Software, Software Services",Head/VP/GM-Recruitment
 Governance & Performance-Performance Management-Professors," Counselor, Mentor, Trainer, Advisor, Teaching",University Level,"Education, Teaching, Training",Lecturer/Professor
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)"," project sales, Architects, Sales Operations, Sales Management, distributor, interior designers, Area Management, contractors, Area, Developers, consultants, dealer, territory management, Sales Manager",Retail Sales,"Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 Operations - SME / Retail," Retail, marketing executive, distributors, customer profiling, sales strategy, SME, market research, Business Development, Operations, sales executive",Senior Management,"Recruitment, Staffing",Head/VP/GM-Operations
 Assistant Manager - HR Operations,vide,HR/ Recruitment / IR,"IT-Software, Software Services",HR Manager
 Sr. Sales / Sales Executive," Manager Sales, Sales Manager, assistant sales manager, MICE, Travel Agent, Senior Sales Executive, senior sales officer, Corporate Sales, Hotel Sales, Room Sales, Sales Executive",Retail Sales,"Travel , Hotels , Restaurants , Airlines , Railways",Sales Executive/Officer
 Senior Business Analyst - Sql/python," data analysis, vba, macros, advanced excel, oracle sql, google analytics, business analysis, python, data mining, business analyst",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Business Analyst
" .NET Developer (asp.net, MVC, C#)"," C#, CSS, XML, Asp Net, Javascript, Web Application, MS SQL Server, .Net, MVC, ASP.Net MVC, JQuery, Ajax",Programming & Design,"IT-Software, Software Services",Software Developer
 Head- Land Management., land acquisition,Drug Regulatory Affairs/Documentation,"Real Estate, Property",Head/VP/GM-Regulatory Affairs
 Sr. Business Analyst," Java, Tomcat, Eclipse, OOPS, HTML, UNIX, SQL, DB2, Weblogic, XML, Flex, Oracle, PL",System Design/Implementation/ERP/CRM,"Recruitment, Staffing",Business Analyst
 CNC Machine Operator," cnc, cnc operator, cnc maintenance, cnc programming",Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery",Factory Head
 Executive," Medical Representative, Senior Executive",Architectural Services,"Pharma, Biotech, Clinical Research",Architect
 Presales Manager - Networking," Sales Engineer, solution architect, Presales, solution consultant, Technology Consultant",,IT-Hardware & Networking,Other
 Inside Sales Executive," Inside Sales, Lead Generation, Cold Calling, New Business, Customer Service, Proposal Writing, Follow Ups, Sales Executive Activities, Communication Skills, Convincing Power",Corporate Sales,"IT-Software, Software Services",Sales Executive/Officer
 Customer Care Executive," Customer Care, Inbound Process, Night Shift, Customer Care Executive, Customer Care Officer, BPO, Domestic BPO, International BPO",Other,"BPO, Call Centre, ITeS",Fresher
 HR - Talent scout specialist," Performance management, Analytical, Design development, Conceptualization, HR, Continuous improvement, Sales support, Recruitment, Testing",Senior Management,"IT-Software, Software Services",Head/VP/GM-HR
 Sr. Sales Manager," Service delivery, Bfsi, enterprise mobility, Market intelligence, Tools, Application development, Sales process, microsoft, Middleware, Business Executive",Retail Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Laundry Executive, laundry,Housekeeping,"Travel , Hotels , Restaurants , Airlines , Railways",Housekeeping Executive/Assistant.
 Accounts executive," TDS, Financial statements, Invoice processing, business opportunity, Interpersonal skills, Tally ERP, Accounting, Analytical, Accounts receivable, Recruitment",Accounts,"Recruitment, Staffing",Accounts Executive/Accountant
 MBA HR - Experience," ERP, Succession Planning, MIS, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",HR/ Recruitment / IR,"IT-Software, Software Services",HR Manager
 System Analyst," T-SQL, Web technologies, data manipulation, MIS, XML, Data structures, System Analyst, JSON, Scripting",Programming & Design,"Media, Entertainment, Internet",System Analyst
 Account Assistance," Audit, Credit Officers, Internal audit, Accounting, Finance, Tax, Accounts, Risk Management",Accounts,"Internet, Ecommerce",Accounts Executive/Accountant
 Senior Embedded Engineer," gsm, ethernet, development, optimization, product development, troubleshooting, gps, lcd, embedded, spi",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai," Fortigate, Networking, Routing, Hyper - V, Dlp, Sophos, Windows, Virtualization, Switching, Firewall",Admin/Maintenance/Security/Datawarehousing,"Banking, Financial Services, Broking",Technical Support Engineer
 Java Developer," Java, Spring Boot, Web Services, Microservices",Programming & Design,"IT-Software, Software Services",Software Developer
